Value,Label
89.25,0
47.0,0
43.0,1
31.0,0
26.666666666666668,1
145.6,0
51.0,0
11.0,1
248.0,1
82.0,1
43.5,1
37.0,1
21.75,0
4.0,0
2.0,1
216.375,1
10.5,0
12.75,0
62.285714285714285,1
17.5,1
65.5,1
12.0,0
62.5,1
103.66666666666669,1
50.66666666666666,0
103.0,1
31.0,1
38.0,1
35.2,1
60.0,0
7.0,1
33.6,0
33.4,0
26.0,0
109.29411764705884,0
17.0,0
43.0,0
26.0,0
31.0,0
45.0,0
90.0,1
68.0,1
3.0,0
22.5,0
26.0,1
66.0,0
60.5,1
1.0,1
21.0,0
12.333333333333334,0
244.0,1
80.5,1
5.0,0
5.0,0
23.0,0
11.0,1
49.25,0
80.16666666666667,1
3.0,0
42.0,1
28.0,0
7.0,1
44.0,1
51.0,0
69.0,1
65.33333333333333,1
121.0,1
75.0,1
78.66666666666667,1
20.666666666666668,0
91.0,1
24.0,0
122.0,1
19.0,1
16.5,0
28.0,1
123.0,1
93.5,1
18.0,0
9.833333333333334,0
51.0,1
5.333333333333333,1
120.66666666666666,1
90.71428571428572,0
567.0,1
65.0,1
43.0,1
66.0,1
82.0,1
64.66666666666667,1
2.0,1
11.2,0
37.0,0
65.0,1
62.0,1
27.8,0
33.666666666666664,0
56.0,1
144.0,1
1.0,1
90.5,1
8.0,0
120.0,1
99.0,1
85.0,1
89.5,1
0.0,0
33.214285714285715,0
93.8,0
55.0,0
54.0,1
54.22222222222222,1
22.0,0
36.0,0
21.0,0
53.0,1
40.0,1
42.0,0
73.0,0
48.25,1
78.0,1
16.2,0
113.0,1
22.0,0
13.0,0
89.5,1
97.0,1
37.0,0
61.0,0
49.0,0
43.4,1
25.25,0
11.5,1
46.5,1
4.333333333333333,0
26.0,0
102.0,0
282.24657534246575,0
139.33333333333334,1
63.0,0
16.75,0
38.0,1
30.666666666666664,0
25.0,1
4.0,0
126.0,1
81.0,0
28.0,0
54.0,0
61.33333333333333,0
3.0,1
21.0,0
25.0,0
80.7,0
69.0,1
9.0,0
41.0,1
2.0,1
18.0,1
20.0,0
136.0,1
61.0,1
107.0,0
9.0,0
36.0,1
27.625,0
125.0,1
62.333333333333336,0
282.0,0
38.0,1
36.0,0
5.0,0
9.8,0
25.0,1
58.0,0
42.25,0
134.0,1
129.75,0
406.1304347826087,1
30.0,0
54.0,1
6.0,1
69.0,1
34.5,0
62.5,1
36.888888888888886,1
57.5,1
180.0,1
24.166666666666668,0
87.0,1
88.0,1
26.0,0
108.0,1
57.0,1
24.0,0
7.5,0
133.0,1
16.5,0
134.0,0
75.0,1
1.0,1
4.0,0
103.0,1
98.33333333333331,0
4.0,0
33.333333333333336,0
150.71428571428572,1
35.5,0
96.66666666666666,0
45.22222222222222,0
108.0,1
58.0,0
106.5,1
20.0,0
6.0,0
60.0,1
59.0,1
97.0,1
94.0,1
3.0,0
37.38461538461539,0
96.0,0
1.0,1
73.0,1
56.4,1
23.0,0
7.0,0
41.0,0
2.0,1
93.26666666666668,0
84.5,1
24.0,0
16.0,1
7.0,1
10.2,0
64.0,0
40.5,1
148.0,1
1.0,0
91.0,1
66.83333333333333,1
103.66666666666669,0
46.0,1
76.5,1
13.0,1
71.0,1
3.0,0
150.0,1
23.9,0
33.0,1
52.0,1
130.28571428571428,0
179.1,1
45.2,0
4.0,1
114.5,0
411.5263157894737,1
92.66666666666669,1
102.5625,0
100.0,1
127.2,1
70.5,0
33.0,0
18.428571428571427,0
10.0,0
34.0,0
76.0,0
7.6,0
25.0,0
53.0,1
93.2,0
19.75,0
81.0,1
13.0,1
2.0,0
98.6,1
125.33333333333331,1
77.25,0
95.0,1
71.0,0
38.0,1
99.5,1
555.4423076923077,0
12.333333333333334,0
32.0,0
47.0,0
252.0,1
107.0,1
47.0,1
34.0,1
52.0,1
57.44444444444444,0
38.8,1
47.0,0
15.0,0
51.0,1
74.71428571428571,1
101.5,1
83.0,1
68.0,1
82.33333333333333,0
105.0,1
5.333333333333333,0
105.0,1
99.9,0
20.0,1
67.16666666666667,1
115.0,1
33.4,0
79.5,1
98.0,1
56.0,1
172.0,0
14.0,0
55.0,0
31.0,0
2.0,1
42.0,1
67.33333333333333,1
2.0,1
4.0,0
69.5,0
28.0,0
2.0,1
12.0,0
103.5,1
44.71428571428572,1
11.5,0
121.0,1
51.0,1
5.0,0
81.8,1
27.0,0
65.0,0
36.0,0
28.0,1
71.4,1
37.0,0
22.0,0
29.0,1
15.818181818181818,0
0.5,0
38.0,0
5.0,1
358.625,1
84.28571428571429,1
18.0,0
9.0,1
32.0,1
180.16666666666663,1
96.0,1
17.0,1
85.55555555555556,1
93.5,1
45.6,0
36.0,1
346.5,1
34.0,0
73.0,1
17.0,1
46.333333333333336,0
70.0,0
192.0,1
50.0,1
18.714285714285715,0
79.0,1
110.0,1
140.0,0
46.4,0
50.0,0
64.0,1
81.5,0
57.5,1
134.5,1
19.0,0
92.0,1
