Value,Label
0,0
0,0
0,1
3,0
21,1
0,0
0,0
0,1
0,1
5,1
19,1
3,1
1,0
1,0
0,1
0,1
0,0
0,0
27,1
12,1
0,1
0,0
1,1
0,1
0,0
55,1
20,1
1,1
0,1
1,0
0,1
0,0
0,0
6,0
0,0
0,0
0,0
18,0
4,0
2,0
0,1
22,1
4,0
4,0
2,1
0,0
0,1
0,1
0,0
0,0
49,1
4,1
0,0
0,0
7,0
5,1
0,0
6,1
0,0
44,1
0,0
0,1
17,1
1,0
4,1
0,1
48,1
0,1
0,1
4,0
5,1
0,0
74,1
9,1
9,0
21,1
0,1
0,1
4,0
0,0
13,1
0,1
99,1
0,0
77,1
39,1
42,1
0,1
36,1
44,1
0,1
0,0
0,0
28,1
5,1
15,0
270,0
18,1
0,1
0,1
4,1
0,0
0,1
52,1
28,1
41,1
0,0
15,0
0,0
12,0
1,1
34,1
16,0
18,0
0,0
6,1
15,1
0,0
0,0
32,1
3,1
0,0
51,1
0,0
1,0
0,1
0,1
2,0
0,0
0,0
0,1
0,0
26,1
0,1
0,0
0,0
0,0
0,0
107,1
0,0
0,0
16,1
0,0
3,1
0,0
0,1
0,0
0,0
22,0
0,0
0,1
0,0
0,0
0,0
2,1
0,0
0,1
0,1
0,1
0,0
0,1
0,1
0,0
0,0
17,1
0,0
0,1
2,0
0,0
5,1
0,0
1,0
0,0
36,1
0,0
0,0
55,1
0,0
228,1
0,0
34,1
0,1
12,1
0,0
46,1
2,1
0,1
1,1
5,0
32,1
37,1
0,0
27,1
0,1
7,0
4,0
0,1
0,0
4,0
23,1
0,1
0,0
29,1
0,0
0,0
3,0
81,1
2,0
1,0
8,0
12,1
0,0
0,1
0,0
0,0
18,1
0,1
0,1
23,1
0,0
274,0
0,0
0,1
3,1
5,1
0,0
3,0
1,0
0,1
0,0
53,1
0,0
5,1
0,1
0,0
11,0
28,1
56,1
0,0
26,1
52,1
0,0
26,1
43,1
0,1
51,1
0,0
91,1
0,0
27,1
1,1
67,0
0,1
0,0
0,1
0,0
56,1
0,1
0,0
66,1
41,1
0,0
0,0
0,0
4,0
0,0
19,0
0,0
2,0
16,1
0,0
0,0
0,1
1,1
5,0
10,1
91,1
1,0
68,1
0,0
23,1
0,1
1,0
0,0
11,0
0,0
1,1
0,1
0,1
19,1
57,1
47,0
0,1
11,0
0,0
3,1
0,1
0,1
1,1
26,1
0,0
64,1
2,0
44,1
1,0
0,1
39,1
46,1
4,0
9,1
42,1
2,1
118,0
1,0
0,0
0,0
0,1
14,1
0,1
0,1
0,0
0,0
1,0
0,1
3,0
0,1
0,1
0,0
24,1
13,1
0,0
34,1
1,0
0,0
0,0
12,1
0,1
0,0
